,How many different companies are represented in the data set?,What is the total number of jobs created for businesses in Queens?,How many different unique email domains names are there in the data set?,"Considering only NTAs with at least 5 listed businesses, what is the average total savings created for each NTA?","Considering only NTAs with at least 5 listed businesses, what is the total jobs created for each NTA?"
0,439,90,361,469890.79666666663,0.0
1,0,0,0,26140.455,10.0
2,0,0,0,24337.390000000003,0.0
3,0,0,0,17159.372857142855,2.0
4,0,0,0,4036.298888888889,0.0
5,0,0,0,59950.340000000004,0.0
6,0,0,0,48433.09333333333,15.0
7,0,0,0,13990.626363636366,0.0
8,0,0,0,9753.649285714286,0.0
9,0,0,0,23931.398933333334,0.0
10,0,0,0,39246.016153846154,12.0
11,0,0,0,2760.8888888888887,0.0
12,0,0,0,6658.283333333334,10.0
13,0,0,0,17843.937857142857,10.0
14,0,0,0,61830.770625,0.0
15,0,0,0,37214.024,0.0
16,0,0,0,17757.662,0.0
17,0,0,0,11227.155714285715,20.0
18,0,0,0,14316.976875,0.0
19,0,0,0,14327.419333333331,0.0
